sale_id,product_id,employee_id,quantity,amount,sale_date
S001,P001,2,2,11998,2024-01-15
S002,P002,5,10,990,2024-01-16
S003,P003,8,5,1995,2024-01-17
S004,P001,2,1,5999,2024-01-18
S005,P004,5,3,2697,2024-01-19
S006,P005,8,2,1198,2024-01-20
S007,P006,2,20,3980,2024-01-21
S008,P007,5,1,1299,2024-01-22
S009,P002,8,15,1485,2024-01-23
S010,P003,2,8,3192,2024-01-24
S011,P001,5,1,5999,2024-01-25
S012,P004,8,2,1798,2024-01-26
S013,P005,2,4,2396,2024-01-27
S014,P006,5,10,1990,2024-01-28
S015,P007,8,2,2598,2024-01-29
