timestamp,cpu_percent,memory_percent,disk_percent,network_sent,network_recv
2025-01-25 10:00:00,45.2,62.3,58.7,1024000,2048000
2025-01-25 10:00:05,52.1,65.8,58.9,1536000,3072000
2025-01-25 10:00:10,48.7,63.2,59.1,2048000,4096000
2025-01-25 10:00:15,55.3,67.5,59.3,2560000,5120000
2025-01-25 10:00:20,50.9,64.1,59.5,3072000,6144000
2025-01-25 10:00:25,58.4,69.2,59.7,3584000,7168000
2025-01-25 10:00:30,53.6,66.4,59.9,4096000,8192000
2025-01-25 10:00:35,61.2,71.8,60.1,4608000,9216000
2025-01-25 10:00:40,56.8,68.5,60.3,5120000,10240000
2025-01-25 10:00:45,63.9,73.1,60.5,5632000,11264000
2025-01-25 10:00:50,59.4,70.2,60.7,6144000,12288000
2025-01-25 10:00:55,66.1,75.6,60.9,6656000,13312000
